Rank,Term,P-value,Z-score,Combined Score,Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,regulation of immune effector process (GO:0002697),7.042404087940308e-11,10.256042773981271,239.7502446421904,"['C1QB', 'CR2', 'C1S', 'CD81', 'C1R', 'PROS1', 'C8B', 'F2', 'C8G', 'C7', 'IRF4', 'C9', 'CD19', 'CFHR4', 'SERPING1', 'CFHR5', 'CD59']",3.0944323562409714e-07,0,0
2,regulation of complement activation (GO:0030449),2.6655095758489675e-10,10.20999799237101,225.08405823524726,"['C1QB', 'CR2', 'C1S', 'CD81', 'C1R', 'PROS1', 'C8B', 'F2', 'C8G', 'C7', 'C9', 'CD19', 'CFHR4', 'SERPING1', 'CFHR5', 'CD59']",5.856124538140182e-07,0,0
3,regulation of humoral immune response (GO:0002920),9.650268476656983e-10,9.133345308664152,189.597884028805,"['C1QB', 'CR2', 'C1S', 'CD81', 'C1R', 'PROS1', 'C8B', 'F2', 'C8G', 'C7', 'C9', 'CD19', 'CFHR4', 'SERPING1', 'CFHR5', 'CD59']",9.18191388873807e-07,0,0
4,positive regulation of transcription by RNA polymerase II (GO:0045944),9.941050609346772e-10,2.2320077195929344,46.26768580730419,"['CIITA', 'SPI1', 'SMARCB1', 'DDX3X', 'THRA', 'CD81', 'BRCA1', 'FLCN', 'SALL1', 'ZMIZ1', 'HYAL2', 'POGZ', 'EP300', 'IKBKG', 'PITX2', 'MEN1', 'MLIP', 'PPP1R12A', 'SERPINF2', 'TCF12', 'TFE3', 'WNT5A', 'PAX6', 'RUNX1', 'NR5A1', 'ZEB2', 'IRF4', 'KAT6B', 'IRF1', 'RFX5', 'IRF2', 'IRF8', 'RARB', 'PHIP', 'PRKD1', 'ATF6', 'SQSTM1', 'MET', 'TP53', 'PRKN', 'CEBPA', 'SMARCD1', 'KMT2A', 'MAX', 'EPAS1', 'DHX9', 'PLAG1', 'PDGFB', 'LRP5', 'GATA2', 'LAGE3', 'SLC9A1', 'MUC1', 'SHOX', 'DVL3', 'NLRP3', 'FADD', 'ZBTB18', 'TGFB2', 'TGFB1', 'SMAD3', 'JUP', 'FZD5', 'CDX2', 'STAT1', 'VDR', 'CDX1', 'FOXJ1', 'NR2F2', 'INO80', 'GRHL2', 'TBX3', 'NFKB2', 'GRIN1', 'SETX', 'SKI', 'CDK9', 'POMC', 'REST', 'RFXAP', 'TCF3', 'NFE2L2']",9.18191388873807e-07,0,0
5,"positive regulation of transcription, DNA-templated (GO:0045893)",1.0448240656279096e-09,2.0676247937102485,42.75727597848911,"['SPI1', 'SMARCB1', 'CD81', 'SALL1', 'ZMIZ1', 'POGZ', 'EP300', 'PITX2', 'MEN1', 'SMARCC1', 'MLIP', 'SERPINF2', 'WNT5A', 'RUNX1', 'KAT6B', 'RFX5', 'PHIP', 'PRKD1', 'ATF6', 'SQSTM1', 'TP53', 'KMT2A', 'MAX', 'EPAS1', 'DHX9', 'PDGFB', 'PSEN1', 'GATA2', 'SLC9A1', 'NUP85', 'DVL3', 'INPP5K', 'NLRP3', 'NDP', 'FADD', 'ZBTB18', 'BRPF1', 'TGFB1', 'SMAD3', 'JUP', 'FZD5', 'VDR', 'NR2F2', 'INO80', 'FLI1', 'NFKB2', 'SETX', 'CDK9', 'MAFB', 'RFXAP', 'TCF3', 'NFE2L2', 'CDKN1C', 'CIITA', 'DDX3X', 'THRA', 'HOXC13', 'BRCA1', 'BRCA2', 'FLCN', 'MECOM', 'HYAL2', 'IKBKG', 'SOST', 'PPP1R12A', 'TCF12', 'TFE3', 'FOXL2', 'PAX6', 'DNM2', 'NR5A1', 'ZEB2', 'IRF4', 'IRF1', 'IRF2', 'IRF8', 'RARB', 'MET', 'PRKN', 'CEBPA', 'SMARCD1', 'PLAG1', 'LRP5', 'LAGE3', 'ERBB4', 'SHOX', 'VHL', 'CDX2', 'STAT1', 'CDX1', 'FOXJ1', 'GRHL2', 'TBX3', 'GRIN1', 'SKI', 'MAD2L2', 'POMC', 'REST', 'NAA15']",9.18191388873807e-07,0,0
6,T cell activation (GO:0042110),3.30713443176468e-09,6.042222222222223,117.98758361041736,"['JAG2', 'ITK', 'PIK3CD', 'RHOH', 'MSN', 'CD3G', 'CTPS1', 'CD3E', 'RASGRP1', 'HSPD1', 'CASP8', 'PTPRC', 'CD8A', 'IRF4', 'LCK', 'LEP', 'KIT', 'LEPR', 'TNFRSF4', 'ADA']",2.4219247821956675e-06,0,0
7,cellular component assembly (GO:0022607),6.712457717057683e-09,3.399696439596625,63.97990950480009,"['KMT2A', 'WIPF1', 'SLC2A1', 'USH1C', 'CD3G', 'CD3E', 'ACTB', 'EPS8', 'SYCE1', 'PPP2R1A', 'PDCD10', 'RAC2', 'IKBKG', 'DNM1L', 'KPNA3', 'SPTBN1', 'GSN', 'TGFB1', 'ABCA3', 'WNT5A', 'RHOH', 'FOXJ1', 'FANCC', 'GRHL2', 'RHOA', 'RP1L1', 'CDAN1', 'STAG3', 'APC', 'DLG4', 'NDUFAF1', 'TRIP13', 'CD247', 'TP53', 'VAMP2']",4.213505601250208e-06,0,0
8,cellular amino acid catabolic process (GO:0009063),1.3612922116235313e-08,5.814618303427873,105.31579908307793,"['ACAD8', 'BCKDHA', 'ECHS1', 'HGD', 'GLDC', 'SHMT2', 'HAAO', 'BCKDHB', 'GOT2', 'HNMT', 'ACADSB', 'QDPR', 'GLUD1', 'ALDH5A1', 'AUH', 'DBT', 'OGDH', 'GLUL', 'HIBCH']",7.096292491243487e-06,0,0
9,T cell differentiation (GO:0030217),1.4534964137731312e-08,10.042152575315841,181.22780295307032,"['JAG2', 'SPI1', 'PIK3CD', 'RHOH', 'ADAM17', 'PTPRC', 'CD8A', 'LCK', 'LEP', 'KIT', 'LEPR', 'FADD', 'RAG1']",7.096292491243487e-06,0,0
10,hemopoiesis (GO:0030097),2.883885779950394e-08,5.503348554033486,95.54661777718464,"['CEBPA', 'TGFB2', 'WNT2B', 'TGFB1', 'KMT2A', 'WNT5A', 'PDGFB', 'ETV6', 'RUNX1', 'TGFBR2', 'FLCN', 'KITLG', 'PTPRC', 'MECOM', 'LCK', 'KIT', 'SBDS', 'TEK', 'TP53']",1.267179411710203e-05,0,0
