Gene,Count
MAPT,59
NPTX1,48
ANK1,36
MEN1,36
BRCA1,36
GALNT2,33
KRAS,33
FGFR1,32
ITGA3,28
SHOX,26
AGL,25
CEBPA,24
CYLD,23
IKZF1,23
VDR,22
RAB23,21
B4GALT1,20
HMX1,19
WNT5A,19
TMEM165,19
KRIT1,18
RARB,18
LZTR1,18
SCARF2,18
EP300,18
EML1,17
PAPPA2,16
DHX9,16
RHOA,16
AP1S2,16
GUCY1A3,16
PDE3A,15
ITK,15
ADAM17,15
TRAPPC4,15
PTEN,15
MRAS,15
FANCC,15
CHKA,14
TFE3,14
CDC6,14
MSN,14
SFRP4,13
ITM2B,13
PDP1,13
CRIPT,13
SLC37A4,13
IRF4,13
CLCN3,13
ASPH,13
MN1,13
FGD1,12
SLC6A9,12
GRIN1,12
KIF1C,12
GNAO1,12
PDGFB,11
CIITA,11
CPS1,11
TCF3,11
LRPPRC,11
TGFBR2,11
DDX3X,11
CASP1,11
DMP1,10
TCEAL1,10
DMD,10
JAG2,10
SCN4A,10
GNRHR,10
MATR3,10
ATP6V0C,10
FGFR3,10
QDPR,10
STS,9
GJB1,9
PGAP3,9
PEX6,9
FUT8,9
MAF,9
FOXJ1,9
FGF13,9
ARHGDIA,9
REST,9
SMARCD1,9
PSEN1,9
BACH2,9
GNE,9
DLG5,9
DNAJB2,8
DRAM2,8
WDR5,8
TACSTD2,8
SERPINH1,8
RBM8A,8
SCNN1G,8
ISCA1,8
PLAT,8
STIL,8
RAG1,8
JAGN1,8
COLQ,8
GOT2,8
CASP8,8
SRP72,8
SEPT9,8
PCK1,8
PGM2L1,7
SPI1,7
MPZL2,7
MUC1,7
CDC14A,7
HOXC13,7
NRAS,7
ALDH18A1,7
NFKB2,7
RAB11A,7
MID1,7
POLR3F,7
GALNT3,7
NLRP3,7
GRM1,7
ALDH3A2,7
RUNX1,7
EDNRA,7
APC2,7
LMAN1,7
DBR1,7
SLC25A12,7
CPOX,7
TGFB1,7
TSR2,7
DBT,6
IDS,6
JAK3,6
GNA11,6
HK1,6
KAT6B,6
CYB5R3,6
KIF11,6
ZNF148,6
LDLR,6
PLOD2,6
LTBP1,6
TPM2,6
SLC24A4,6
IRF9,6
PYGL,6
CEP85L,6
BCAP31,6
MNX1,6
ABCB4,6
TRAPPC10,6
POU3F4,6
DLG4,6
RAB5C,6
NDRG1,6
TONSL,6
MAFB,6
USH1G,6
NR3C2,6
VHL,5
CD59,5
SCP2,5
MYL3,5
UROD,5
SDHC,5
SLITRK6,5
ATF6,5
FAT4,5
NNT,5
TRIM2,5
INPP5K,5
CACNA1S,5
TPM1,5
COX10,5
VAMP2,5
UBAP1,5
PLAG1,5
EIF2AK2,5
TICAM1,5
TFRC,5
ABO,5
PTCD3,5
CENPJ,5
ACADSB,5
CASP10,5
ZMYM2,5
PODXL,5
ABCB7,5
CYP51A1,5
ARF1,5
PMM2,5
ADARB1,5
ERI1,5
CASP2,5
PPIL1,5
EPB42,5
ADAR,4
COQ4,4
PIGN,4
SLC27A4,4
MYO3A,4
VIM,4
NUP54,4
PITX2,4
KERA,4
METTL5,4
DTYMK,4
HYAL2,4
PPP1R12A,4
B4GALNT1,4
DAG1,4
KCNQ1OT1,4
FOXL2,4
ATP8A2,4
CEP55,4
PLCE1,4
ARL3,4
GATA2,4
SPINT2,4
MECR,4
MPL,4
TFG,4
DPYD,4
RAF1,4
NDUFA1,4
FHL1,4
CUL3,4
CPT2,4
SMC1A,4
FLI1,4
PHKA1,4
STT3A,4
EPS8,4
PEX5,4
LEP,4
CFTR,4
RSPO1,4
OGDH,4
PHIP,4
BMP1,4
DLAT,4
GP1BA,4
RRM2B,4
MAPK1,4
CAPN5,4
CD3E,4
DNM1L,4
LARS,4
TMPRSS2,4
MPV17,4
POLG2,4
GABRA2,4
APC,4
C7,4
ALDOB,4
TJP2,4
TGDS,4
EDNRB,4
PLK4,4
LAMTOR2,4
KRT9,4
ACACA,4
KRT16,4
COL6A1,4
OTOF,4
KIF2A,4
IFNAR1,4
SMN2,4
KCNQ1,4
PAX6,4
THBD,4
PRPS1,3
TNFRSF4,3
JAK1,3
PRKACB,3
GFI1,3
GALE,3
YARS2,3
ALX4,3
CNNM2,3
HPD,3
CDX2,3
TNNT3,3
DNM2,3
CD247,3
GBE1,3
ARHGAP29,3
WNT2B,3
PROS1,3
CRTAP,3
SCN11A,3
TNPO2,3
PIGA,3
WNT7B,3
ALB,3
PIBF1,3
NEB,3
AFF3,3
RELB,3
FERMT1,3
ZMIZ1,3
B3GLCT,3
SGPL1,3
RSRC1,3
DVL3,3
PSAP,3
TIMMDC1,3
SLCO2A1,3
WIPF1,3
ITPR1,3
CEP83,3
SLC4A4,3
KIT,3
MAX,3
UGDH,3
AXIN2,3
DYNC2LI1,3
DPYSL5,3
PRKD1,3
VCP,3
SLC1A3,3
GON7,3
LIFR,3
MOCS2,3
CHRNB1,3
TEK,3
CA8,3
CYP7B1,3
LYN,3
MAP1B,3
XRCC4,3
FAM83H,3
SLC39A7,3
IRF8,3
ATP6V0A1,3
PTPRC,3
RP1L1,3
UGP2,3
RAB27A,3
DUT,3
TK2,3
GFER,3
SLC1A4,3
ZBTB18,3
TRRAP,3
XYLT1,3
THUMPD1,3
RBL2,3
MACF1,3
PRKN,3
BMPER,3
FAM126A,3
DDX11,3
GRIN2B,3
PLXNA3,3
VPS13D,3
SKI,2
TNFRSF9,2
PIK3CD,2
MAD2L2,2
C1S,2
TPI1,2
CCND2,2
ACAD8,2
DPAGT1,2
EIF2B3,2
KMT2A,2
TBC1D8B,2
GJB3,2
STX11,2
HIVEP2,2
IFNGR1,2
TBC1D32,2
BCKDHB,2
POLD2,2
NT5C3A,2
IQCE,2
MPC1,2
PRRT2,2
MEST,2
PMPCB,2
GRB10,2
CCNF,2
NDUFB10,2
NR2F2,2
HSD11B2,2
HSF4,2
CSTB,2
PYCR2,2
SPRED2,2
SPTBN1,2
PDE10A,2
EFL1,2
TBC1D2B,2
SMAD3,2
ERLIN2,2
SLC39A14,2
ASAH1,2
TCF12,2
GLDN,2
CTNS,2
DPH1,2
RPA1,2
MLIP,2
PPP2R5D,2
TAF8,2
TAP2,2
NEU1,2
MLYCD,2
AP1G1,2
C15orf41,2
LAMB3,2
UBE2T,2
CFHR5,2
CFHR4,2
CFHR3,2
CRYBA4,2
TANGO2,2
COL6A2,2
GRHL2,2
PABPC1,2
KRT12,2
THRA,2
CAP2,2
CDX1,2
TP53,2
ACADVL,2
PMP2,2
ARFGEF1,2
CSPP1,2
GALT,2
KIAA1161,2
GLDC,2
GPIHBP1,2
ARSB,2
GNAS,2
NAPB,2
SMN1,2
WNK4,2
DGKE,2
ITGB3,2
ERBIN,2
PDE4D,2
OXCT1,2
RETREG1,2
SLC22A5,2
RSPO2,2
GABRA5,2
SRP54,2
MYH7,2
CLDN10,2
ATP1A3,2
ANKH,2
TRIP13,2
IRF2,2
GLRB,2
NAA15,2
PHEX,2
ANOS1,2
ALG12,2
FBXL3,2
PITRM1,2
MAN1B1,2
SCN3A,2
TMEM163,2
POLR1B,2
CD8A,2
TIA1,2
U2AF2,2
GP6,2
PPP2R1A,2
EMC10,2
AP2S1,2
TSC1,2
CDK9,2
PRKG1,2
RFXAP,2
NEDD4L,2
NARS,2
FECH,2
CDH2,2
APCDD1,2
MSX1,2
EIF4A2,2
DNAJB11,2
MECOM,2
NDNF,2
LONP1,2
RPL36,2
TBXA2R,2
HCN2,2
RNF13,2
PCCB,2
GP9,2
UMPS,2
TBX3,2
ERLIN1,2
MYL2,2
ISCU,2
NDUFB3,2
C2orf69,2
HIBCH,2
ITGAV,2
NFE2L2,2
BRPF1,2
RAB11B,2
KITLG,2
KIF5A,2
STAC3,2
SHMT2,2
USH1C,2
FAR1,2
SBF2,2
IFITM3,2
KRT3,2
ARF3,2
PSENEN,2
IMPDH2,2
LARS2,2
CD79A,2
TMEM237,2
IRAK4,2
KIF21A,2
POGZ,2
RFX5,2
GLUL,2
TCIRG1,2
TMEM151A,2
MS4A1,2
FAM111B,2
ALPL,2
SLC9A6,2
RNF113A,2
IRS4,2
AGXT,2
SP110,2
FARSB,2
CXCR1,2
FN1,2
FZD5,2
BCKDHA,2
CLP1,2
SERPING1,2
EXT2,2
HYOU1,2
GK,2
NR0B1,2
MSH4,2
CTH,2
HPCA,2
RPL10,2
ISG15,2
RAB39B,1
USP48,1
C1QB,1
LDLRAP1,1
SLC9A1,1
STXBP3,1
TMCO1,1
FCGR2A,1
NCSTN,1
COPA,1
CFAP45,1
SPTA1,1
RIT1,1
UBAP2L,1
TNFRSF13C,1
PLA2G6,1
RAC2,1
SLC5A1,1
RAB3GAP2,1
IARS2,1
SLC30A10,1
CD81,1
BRSK2,1
PIDD1,1
SYCE1,1
ECHS1,1
KRT6C,1
KRT6A,1
KRT6B,1
SCN8A,1
SLC11A2,1
GPD1,1
DDX23,1
ADCY6,1
SF3B2,1
DDB2,1
F2,1
PDZD8,1
SLC18A2,1
SHOC2,1
NT5C2,1
SUFU,1
CWF19L1,1
RBP4,1
OAS1,1
PAH,1
MYBPC1,1
CRADD,1
SYT1,1
LYZ,1
FANCF,1
PGAP2,1
CDKN1C,1
AK1,1
NR5A1,1
GSN,1
ATAD1,1
PAPSS2,1
GLUD1,1
KCNMA1,1
PRF1,1
ATP7B,1
KPNA3,1
SLC25A15,1
UFM1,1
BRCA2,1
EIF2B1,1
HSPB8,1
IKZF5,1
FKTN,1
SLC44A1,1
FBP1,1
AUH,1
AGTPBP1,1
FXN,1
EXOSC3,1
NUBPL,1
FOXG1,1
GRK1,1
TPP2,1
PCCA,1
C8G,1
SETX,1
NTNG2,1
SPTAN1,1
POMK,1
IL11RA,1
CDKN2A,1
DGAT1,1
CYC1,1
TNFRSF11B,1
MAGEL2,1
TRIP11,1
TSHR,1
SPTLC2,1
TMEM63C,1
COQ6,1
C14orf39,1
GCH1,1
RAB14,1
ALAD,1
SFTPC,1
HR,1
LPL,1
CSGALNACT1,1
RHEB,1
ADAM10,1
MYO5A,1
GATM,1
SORD,1
CDAN1,1
NDUFAF1,1
INO80,1
ZFYVE19,1
RASGRP1,1
HERC2,1
TRPA1,1
SCNN1B,1
UQCRC2,1
OTOA,1
AKR1D1,1
BPGM,1
MET,1
STAG3,1
SAMD9L,1
SBDS,1
ABCA3,1
NPRL3,1
CHRNA3,1
CYP11A1,1
MTFMT,1
STAR,1
GNRH1,1
OSTM1,1
SEC63,1
NDUFAF4,1
CAMK2B,1
AGR2,1
RNF216,1
ACTB,1
WIPI2,1
PRKAR1B,1
RNASET2,1
SALL1,1
PHKB,1
GPT2,1
VKORC1,1
CD19,1
COG7,1
MTO1,1
GTPBP2,1
POLR1C,1
LHFPL5,1
ITPR3,1
GABBR1,1
CHMP1A,1
ANKRD11,1
CYBA,1
DHODH,1
COG8,1
CNOT1,1
CFAP20,1
RSPH3,1
ADGRG6,1
CDK19,1
JUP,1
NEUROD2,1
RPL23,1
TDP2,1
ALDH5A1,1
SQSTM1,1
HNRNPH1,1
PROP1,1
F12,1
SLC34A1,1
THG1L,1
HAVCR1,1
SIL1,1
CRYBA1,1
FLCN,1
SERPINF2,1
C9,1
NIPBL,1
DNAJC21,1
REEP2,1
KLHL3,1
TXNDC15,1
PPP2CA,1
AFF4,1
IRF1,1
LOX,1
HSD17B4,1
KIAA0825,1
DHFR,1
G6PC,1
CNTNAP1,1
NAGLU,1
EIF2B5,1
CLDN11,1
PDCD10,1
RHOH,1
SLC6A3,1
KLKB1,1
CPE,1
NAF1,1
SLC25A19,1
NUP85,1
STRADA,1
XYLT2,1
SOST,1
RPL27,1
CWC27,1
GHR,1
SERPINB7,1
SLC25A36,1
MSL2,1
MYLK,1
HGD,1
MAPRE2,1
KCTD1,1
RBBP8,1
GREB1L,1
WDR45B,1
SGSH,1
NSD2,1
LETM1,1
UVSSA,1
P3H2,1
LIPH,1
ZBTB47,1
SATB1,1
IQSEC1,1
ATP6V1A,1
CBLB,1
TRMT10C,1
CHMP2B,1
SHQ1,1
PROK2,1
LMOD3,1
CACNA1D,1
SEMA3F,1
ANGPTL6,1
EEF2,1
FZR1,1
CFD,1
COL3A1,1
KLHL41,1
NDUFA10,1
PNKD,1
ERBB4,1
TMEM147,1
LGI4,1
PEPD,1
UQCRFS1,1
COMP,1
PRKACA,1
FARSA,1
ACP5,1
PRKCSH,1
SMARCC1,1
ANO10,1
HNMT,1
BUB1,1
RANBP2,1
REEP1,1
CTNNA2,1
DCTN1,1
TSEN34,1
NLRP12,1
FPR2,1
FPR1,1
RTN2,1
MEGF8,1
ARHGEF1,1
NDUFS1,1
HSPD1,1
STAT1,1
COQ8A,1
H3F3A,1
FBXO28,1
PPP1R21,1
EPAS1,1
HAAO,1
CYP1B1,1
CAD,1
KCNJ6,1
HLCS,1
EDN3,1
CTSA,1
STK4,1
ADA,1
IFT52,1
ZEB2,1
TGFB2,1
KCTD3,1
CR2,1
PPP1R15B,1
PLA2G4A,1
CRYBB2,1
SMARCB1,1
CLDN5,1
USP18,1
LSS,1
SELENOI,1
POMC,1
KIDINS220,1
RPS7,1
FH,1
ACTA1,1
PUM1,1
IKBKG,1
LAGE3,1
B3GALT6,1
GABRD,1
PPP1R3F,1
EBP,1
NDP,1
CASK,1
LEPR,1
C8B,1
ELOVL1,1
CTSK,1
DCLRE1B,1
AP4B1,1
AMPD2,1
CD3G,1
RDX,1
TMEM126B,1
FADD,1
LRP5,1
ETV6,1
C1R,1
F9,1
CD40LG,1
CUL4B,1
BTK,1
SLC2A1,1
CTPS1,1
MFSD2A,1
NCDN,1
LCK,1
