transcript_ref,transcript_base,transcript_version
NM_000014.6,NM_000014,6
NM_000015.3,NM_000015,3
NM_000016.6,NM_000016,6
NM_000017.4,NM_000017,4
NM_000018.4,NM_000018,4
NM_000019.4,NM_000019,4
NM_000020.3,NM_000020,3
NM_000021.4,NM_000021,4
NM_000022.4,NM_000022,4
NM_000023.4,NM_000023,4
NM_000024.6,NM_000024,6
NM_000025.3,NM_000025,3
NM_000026.4,NM_000026,4
NM_000027.4,NM_000027,4
NM_000028.2,NM_000028,2
NM_000029.4,NM_000029,4
NM_000030.3,NM_000030,3
NM_000031.6,NM_000031,6
NM_000032.5,NM_000032,5
NM_000033.4,NM_000033,4
NM_000034.3,NM_000034,3
NM_000035.4,NM_000035,4
NM_000036.3,NM_000036,3
NM_000037.4,NM_000037,4
NM_000038.6,NM_000038,6
NM_000039.3,NM_000039,3
NM_000040.3,NM_000040,3
NM_000041.4,NM_000041,4
NM_000042.3,NM_000042,3
NM_000043.6,NM_000043,6
NM_000044.6,NM_000044,6
NM_000045.4,NM_000045,4
NM_000046.5,NM_000046,5
NM_000047.3,NM_000047,3
NM_000048.4,NM_000048,4
NM_000049.4,NM_000049,4
NM_000050.4,NM_000050,4
NM_000051.4,NM_000051,4
NM_000052.7,NM_000052,7
NM_000053.4,NM_000053,4
NM_000054.7,NM_000054,7
NM_000055.4,NM_000055,4
NM_000056.5,NM_000056,5
NM_000057.4,NM_000057,4
NM_000059.4,NM_000059,4
NM_000060.4,NM_000060,4
NM_000061.3,NM_000061,3
NM_000062.3,NM_000062,3
NM_000063.6,NM_000063,6
NM_000064.4,NM_000064,4
NM_000065.5,NM_000065,5
NM_000066.4,NM_000066,4
NM_000067.3,NM_000067,3
NM_000068.4,NM_000068,4
NM_000069.3,NM_000069,3
NM_000070.3,NM_000070,3
NM_000071.3,NM_000071,3
NM_000072.3,NM_000072,3
NM_000073.3,NM_000073,3
NM_000074.3,NM_000074,3
NM_000075.4,NM_000075,4
NM_000076.2,NM_000076,2
NM_000077.5,NM_000077,5
NM_000078.3,NM_000078,3
NM_000079.4,NM_000079,4
NM_000080.4,NM_000080,4
NM_000081.4,NM_000081,4
NM_000082.4,NM_000082,4
NM_000083.3,NM_000083,3
NM_000084.5,NM_000084,5
NM_000085.5,NM_000085,5
NM_000086.2,NM_000086,2
NM_000087.5,NM_000087,5
NM_000088.4,NM_000088,4
NM_000089.4,NM_000089,4
NM_000090.4,NM_000090,4
NM_000091.5,NM_000091,5
NM_000092.5,NM_000092,5
NM_000093.5,NM_000093,5
NM_000094.4,NM_000094,4
NM_000095.3,NM_000095,3
NM_000096.4,NM_000096,4
NM_000097.7,NM_000097,7
NM_000098.3,NM_000098,3
NM_000099.4,NM_000099,4
NM_000100.4,NM_000100,4
NM_000101.4,NM_000101,4
NM_000102.4,NM_000102,4
NM_000103.4,NM_000103,4
NM_000104.4,NM_000104,4
NM_000106.6,NM_000106,6
NM_000107.3,NM_000107,3
NM_000108.5,NM_000108,5
NM_000109.4,NM_000109,4
NM_000110.4,NM_000110,4
NM_000111.3,NM_000111,3
NM_000112.4,NM_000112,4
NM_000113.3,NM_000113,3
NM_000114.2,NM_000114,2
NM_000115.5,NM_000115,5
NM_000116.5,NM_000116,5
NM_000117.3,NM_000117,3
NM_000118.4,NM_000118,4
NM_000119.3,NM_000119,3
NM_000120.4,NM_000120,4
NM_000121.4,NM_000121,4
NM_000122.2,NM_000122,2
NM_000123.4,NM_000123,4
NM_000124.4,NM_000124,4
NM_000125.4,NM_000125,4
NM_000126.4,NM_000126,4
NM_000127.3,NM_000127,3
NM_000128.4,NM_000128,4
NM_000129.4,NM_000129,4
NM_000130.5,NM_000130,5
NM_000131.4,NM_000131,4
NM_000132.4,NM_000132,4
NM_000133.4,NM_000133,4
NM_000134.4,NM_000134,4
NM_000135.4,NM_000135,4
NM_000136.3,NM_000136,3
NM_000137.4,NM_000137,4
NM_000138.5,NM_000138,5
NM_000139.5,NM_000139,5
NM_000140.5,NM_000140,5
NM_000141.5,NM_000141,5
NM_000142.5,NM_000142,5
NM_000143.4,NM_000143,4
NM_000144.5,NM_000144,5
NM_000145.4,NM_000145,4
NM_000146.4,NM_000146,4
NM_000147.5,NM_000147,5
NM_000148.4,NM_000148,4
NM_000149.4,NM_000149,4
NM_000150.4,NM_000150,4
NM_000151.4,NM_000151,4
NM_000152.5,NM_000152,5
NM_000153.4,NM_000153,4
NM_000154.2,NM_000154,2
NM_000155.4,NM_000155,4
NM_000156.6,NM_000156,6
NM_000157.4,NM_000157,4
NM_000158.4,NM_000158,4
NM_000159.4,NM_000159,4
NM_000160.5,NM_000160,5
NM_000161.3,NM_000161,3
NM_000162.5,NM_000162,5
NM_000163.5,NM_000163,5
NM_000164.4,NM_000164,4
NM_000165.5,NM_000165,5
NM_000166.6,NM_000166,6
NM_000167.6,NM_000167,6
NM_000168.6,NM_000168,6
NM_000169.3,NM_000169,3
NM_000170.3,NM_000170,3
NM_000171.4,NM_000171,4
NM_000172.4,NM_000172,4
NM_000173.7,NM_000173,7
NM_000174.5,NM_000174,5
NM_000175.5,NM_000175,5
NM_000176.3,NM_000176,3
NM_000177.5,NM_000177,5
NM_000178.4,NM_000178,4
NM_000179.3,NM_000179,3
NM_000180.4,NM_000180,4
NM_000181.4,NM_000181,4
NM_000182.5,NM_000182,5
NM_000183.3,NM_000183,3
NM_000184.3,NM_000184,3
NM_000185.4,NM_000185,4
NM_000186.4,NM_000186,4
NM_000187.4,NM_000187,4
NM_000188.3,NM_000188,3
NM_000189.5,NM_000189,5
NM_000190.4,NM_000190,4
NM_000191.3,NM_000191,3
NM_000192.3,NM_000192,3
NM_000193.4,NM_000193,4
NM_000194.3,NM_000194,3
NM_000195.5,NM_000195,5
NM_000196.4,NM_000196,4
NM_000197.2,NM_000197,2
NM_000198.4,NM_000198,4
NM_000199.5,NM_000199,5
