transcript_ref,transcript_base,transcript_version
NM_000123.1,NM_000123,1
NM_001005221.2,NM_001005221,2
NM_001005277.1,NM_001005277,1
NM_001005484.2,NM_001005484,2
NM_001014980.3,NM_001014980,3
NM_001029885.2,NM_001029885,2
NM_001039211.3,NM_001039211,3
NM_001039577.5,NM_001039577,5
NM_001114103.1,NM_001114103,1
NM_001114748.2,NM_001114748,2
NM_001127229.2,NM_001127229,2
NM_001127230.2,NM_001127230,2
NM_001130045.2,NM_001130045,2
NM_001130413.4,NM_001130413,4
NM_001142467.2,NM_001142467,2
NM_001144867.1,NM_001144867,1
NM_001144868.1,NM_001144868,1
NM_001145210.3,NM_001145210,3
NM_001146685.2,NM_001146685,2
NM_001160184.2,NM_001160184,2
NM_001170535.3,NM_001170535,3
NM_001170536.3,NM_001170536,3
NM_001170686.4,NM_001170686,4
NM_001170687.4,NM_001170687,4
NM_001170688.2,NM_001170688,2
NM_001170689.2,NM_001170689,2
NM_001205252.2,NM_001205252,2
NM_001242659.2,NM_001242659,2
NM_001243535.2,NM_001243535,2
NM_001243536.2,NM_001243536,2
NM_001256456.2,NM_001256456,2
NM_001256460.2,NM_001256460,2
NM_001256462.2,NM_001256462,2
NM_001256463.2,NM_001256463,2
NM_001282582.2,NM_001282582,2
NM_001282583.2,NM_001282583,2
NM_001282584.2,NM_001282584,2
NM_001282585.1,NM_001282585,1
NM_001291366.2,NM_001291366,2
NM_001291367.2,NM_001291367,2
NM_001305275.2,NM_001305275,2
NM_001317238.2,NM_001317238,2
NM_001318485.2,NM_001318485,2
NM_001320153.3,NM_001320153,3
NM_001320155.3,NM_001320155,3
NM_001330306.2,NM_001330306,2
NM_001330311.2,NM_001330311,2
NM_001346116.2,NM_001346116,2
NM_001350497.2,NM_001350497,2
NM_001350498.2,NM_001350498,2
NM_001350499.2,NM_001350499,2
NM_001350500.2,NM_001350500,2
NM_001363525.2,NM_001363525,2
NM_001364727.2,NM_001364727,2
NM_001367552.1,NM_001367552,1
NM_001369897.1,NM_001369897,1
NM_001369898.1,NM_001369898,1
NM_001371649.1,NM_001371649,1
NM_001375659.1,NM_001375659,1
NM_001375660.1,NM_001375660,1
NM_001385640.1,NM_001385640,1
NM_001385641.1,NM_001385641,1
NM_001394713.1,NM_001394713,1
NM_001410697.1,NM_001410697,1
NM_001410700.1,NM_001410700,1
NM_001410709.1,NM_001410709,1
NM_002978.2,NM_002978,2
NM_003327.4,NM_003327,4
NM_004195.3,NM_004195,3
NM_004421.3,NM_004421,3
NM_005101.4,NM_005101,4
NM_014188.3,NM_014188,3
NM_015658.4,NM_015658,4
NM_016176.6,NM_016176,6
NM_016547.3,NM_016547,3
NM_017871.6,NM_017871,6
NM_017891.5,NM_017891,5
NM_017900.3,NM_017900,3
NM_017971.4,NM_017971,4
NM_018188.5,NM_018188,5
NM_021170.4,NM_021170,4
NM_022834.5,NM_022834,5
NM_024796.1,NM_024796,1
NM_030575.1,NM_030575,1
NM_030649.3,NM_030649,3
NM_030937.6,NM_030937,6
NM_031921.6,NM_031921,6
NM_032129.3,NM_032129,3
NM_032179.1,NM_032179,1
NM_032348.4,NM_032348,4
NM_032722.2,NM_032722,2
NM_058167.3,NM_058167,3
NM_080605.4,NM_080605,4
NM_080875.5,NM_080875,5
NM_148901.2,NM_148901,2
NM_148902.2,NM_148902,2
NM_152228.3,NM_152228,3
NM_152486.4,NM_152486,4
NM_153254.3,NM_153254,3
NM_153339.3,NM_153339,3
NM_175912.2,NM_175912,2
NM_181870.1,NM_181870,1
NM_182779.3,NM_182779,3
NM_194315.2,NM_194315,2
NM_194316.1,NM_194316,1
NM_194457.2,NM_194457,2
NM_194458.2,NM_194458,2
NM_198317.3,NM_198317,3
NM_198466.1,NM_198466,1
NM_198576.4,NM_198576,4
NM_199121.3,NM_199121,3
NM_207464.1,NM_207464,1
NR_015368.2,NR_015368,2
NR_015434.1,NR_015434,1
NR_024321.1,NR_024321,1
NR_024540.1,NR_024540,1
NR_026818.1,NR_026818,1
NR_026871.1,NR_026871,1
NR_026874.2,NR_026874,2
NR_027055.1,NR_027055,1
NR_027693.1,NR_027693,1
NR_028322.1,NR_028322,1
NR_028327.1,NR_028327,1
NR_029639.1,NR_029639,1
NR_029834.1,NR_029834,1
NR_029957.1,NR_029957,1
NR_033183.2,NR_033183,2
NR_033908.1,NR_033908,1
NR_036051.1,NR_036051,1
NR_037668.3,NR_037668,3
NR_038869.1,NR_038869,1
NR_039983.2,NR_039983,2
NR_046018.2,NR_046018,2
NR_047519.1,NR_047519,1
NR_047520.1,NR_047520,1
NR_047521.1,NR_047521,1
NR_047522.1,NR_047522,1
NR_047523.1,NR_047523,1
NR_047524.1,NR_047524,1
NR_047525.1,NR_047525,1
NR_047526.1,NR_047526,1
NR_103536.1,NR_103536,1
NR_106781.1,NR_106781,1
NR_106784.1,NR_106784,1
NR_106785.1,NR_106785,1
NR_106866.1,NR_106866,1
NR_106918.1,NR_106918,1
NR_107062.1,NR_107062,1
NR_122045.1,NR_122045,1
NR_125957.1,NR_125957,1
NR_125994.1,NR_125994,1
NR_125995.1,NR_125995,1
NR_125996.1,NR_125996,1
NR_135154.2,NR_135154,2
NR_144369.2,NR_144369,2
NR_145806.1,NR_145806,1
NR_146324.2,NR_146324,2
NR_146722.2,NR_146722,2
NR_146723.2,NR_146723,2
NR_147951.1,NR_147951,1
NR_148357.1,NR_148357,1
NR_148960.1,NR_148960,1
NR_162149.1,NR_162149,1
NR_168328.1,NR_168328,1
NR_168405.1,NR_168405,1
NR_168432.1,NR_168432,1
NR_168433.1,NR_168433,1
NR_170330.2,NR_170330,2
NR_173246.1,NR_173246,1
NR_182074.1,NR_182074,1
NR_182075.1,NR_182075,1
NR_182076.1,NR_182076,1
